num	level	id	Art	IW	EOL%	EOL	OL	
खाम्लुङ	23562	6
सरमथली	27566	1
पद्मकन्या_कलेज_पत्रिका_(पत्रिका)	11435	0
कविता_(पत्रिका)	11362	1
दोधारा	5983	5
नारद_पोखरी	44966	0
ह्वामा	26208	4
दुर्गौली	5871	5
जोहाङ	27924	5
ओखले	27165	7
सत्यवती	27896	4
दीपाश्री_निरौला	55025	0
दर्सिङ_दहथुम	4082	4
बक्राङ	31432	4
हजरीया	29837	4
किडी_जियाले_कर्णालीमा_फाल_हालिन्	53656	0
छात्रवाणी_(पत्रिका)	11242	1
चण्डेश्वरी	16714	0
आंधी_(पत्रिका)	11280	1
हाम्रो_विकास_बैंक_लिमिटेड	43788	0
टंकीमनाङ	32280	5
पद्म_कलेज	44174	0
हीराको_टुक्रा	53392	0
प्रिती,_रामेछाप	31510	5
रणधीर_सुब्बा	47445	0
सुदाम_थापा	69838	0
कागबेनी_(चलचित्र)	8085	2
कास्कीकोट	33378	5
फोक्सिड	6023	5
जलजले	14360	6
धर्ना_गा.वि.स.	28826	3
नागदह	35168	1
प्राकृत_पोखरा	45335	0
तलेजुभवानी	16522	0
कृष्णबहादुर_महरा	10610	4
कृष्णाष्टमी	6170	26
नं.१_बन_तथा_पर्यावरण_सुरक्षा_गण	66187	0
नेपाल_राष्ट्रिय_फुटबल_टिम	71162	29
नेपाल_एसविआई_बैंक_लिमिटेड	38566	1
गीताञ्जली_कलेज	45032	0
फाक्तेप	23476	4
पुलाचौर	32320	5
खप्तड_ताल	76845	1
जयनेपाल_(पत्रिका)	11541	1
विवाह_मण्डप_(जनकपुर)	4867	0
सिभिक_डेभलपमेण्ट_बैंक_लिमिटेड	43791	0
अर्लाङकोट	27910	5
सावित्री-सत्यवान	45632	0
सानो_रानीचरी	56794	0
खुला_ज्ञान_प्रतिष्ठान_नेपाल	54016	0
आरुचौर	34016	5
नेपाल_गैर्ह_सअर्कारि_संस्था	8943	0
प्राङबुङ	23474	4
सल्लेरी	26103	3
त्रिभुवन_राजपथ	7426	2
दीपक_रायमाझी	53159	1
मालु	29248	1
काठमाडौं_म्युनिसिपल_पत्रिका_(पत्रिका)	11222	1
रोचिष्णु_मिसिया	56366	0
काठमाडौं	1845	118
कुलुङ्ग_बहुमुखी_क्याम्पस	44002	0
भिएस_निकेतन_कलेज	44809	0
चिपुर	3970	4
सरस्वतीनगर	32817	4
आदर्श_राघव	45254	0
युनाइटेड_विकास_बैंक_लिमिटेड	43732	0
थर्पु	23469	4
न्यायदूत_(पत्रिका)	11816	0
मालिका,_बागलुङ	33267	2
दर्ख	4075	4
रेडियो_ध्रुवतारा	64482	0
जुनेली_(पत्रिका)	11352	1
कालो_अक्षर	45660	0
धर्हारी	4309	4
तुसारा	26225	6
गोकुलेश्वर_बहुमुखी_क्याम्पस	44250	0
निर्धन_उत्थान_बैंक_लिमिटेड	43899	0
रुकुमकोट	7880	2
युगवाणी_(पत्रिका)	11210	0
आमा_(पत्रिका)	11405	1
भिमदल_गण	65214	0
रामनगर	29748	5
भीमसेनको_अन्त्य	45607	0
दरौ	34039	3
सानोवाङथली	27585	5
चिल्ला_पातहरू	53635	0
कोल्टी	26058	5
गेर्खु	29542	3
नारदमुनि_थुलुङ	47402	0
पासाङ_ह्लामु_शेर्पा	31036	0
हिमालय_कलेज_अफ_इन्जिनियरिङ्ग	44208	0
दि_गोदावेरियन_(पत्रिका)	11598	1
स्वरूपराज_आचार्य	55032	0
आंखो_(पत्रिका)	11614	1
अमलेखगंज	6595	6
पावाखोला	23692	5
गेटा_आँखा_अस्पताल	50768	0
पंधेरा	76983	0
अन्तुडाँडा	53153	0
रेडियो_टिकापुर	45955	0
भोर्ले_(पर्वत)	3692	0
सगरमाथा_अञ्चल	3237	24
गौर_नगरपालिका	6396	9
हेमन्त_रोकाया	69687	0
लामिडाँडा,_दोलखा	29241	1
नेपाल_औद्योगिक_विकास_निगम_लिमिटेड	43728	0
ग्वानी	26777	4
घ्याचोक	31407	3
मेट्रोपोलिश_कलेज	44010	0
दैनिक_निर्णय_(पत्रिका)	11588	1
फाप्लु	13025	5
बाँझो	5024	6
साहित्य_धारा_(पत्रिका)	11576	1
नागपोखरी	56954	0
सानो_जलेवा	57222	0
कानपुर_क्याम्पस	45870	0
चौहा	3862	4
सपना(स्पष्टता)	70399	0
बडहरामाल	31277	5
नौलो_नेपाली_(पत्रिका)	11913	0
तिलोत्तमा_(पत्रिका)	11738	1
खार_दार्चुला	26774	4
फिकुरी	6020	4
लूनी_(खण्डकाव्य)	53568	0
कृषि-बाला	53628	0
सोभियत_संघका_समाचार_(पत्रिका)	11409	1
पदमबहादुर_रोकाया	69661	0
सुक्रौली	29765	5
खैरावाङदेवी	16347	0
रिलायन्स_फाइनान्स_लिमिटेड	43890	0
राप्ती_अञ्चल	2730	23
धामीकुवा	4279	5
वनकरिया_जाति	23856	0
ईमेज_एफएम	30512	1
दुध_पोखरी	5906	4
देवी_श्यामा	56655	0
शंखुपाटीचौर	27569	1
बिराट_एफएम	22652	0
शारदा_नगरपालिका	76608	2
विद्यार्थी_समाचार_(पत्रिका)	11940	1
डाम्री	4041	4
डुम्री	55614	0
नेपाल_राष्ट्रिय_निम्न_माध्यमिक_विद्यालय	74223	0
हिमदूत_(पत्रिका)	11537	0
घाचोक	33381	5
मध्य_पश्चिमाञ्चल_ग्रामीण_विकास_बैंक_लिमिटेड	43897	0
हाम्रा_पुर्खाहरू	45647	0
उपन्यास-सिद्धान्त_र_नेपाली_उपन्यास	45652	0
हर्कबहादुर_सिंह	69677	0
जेमिला	77840	32
कालेश्वर	23253	5
आँचल_(पत्रिका)	11381	1
नवजागरण_(पत्रिका)	11396	0
सीतापाइला	30380	5
सेतो_बाघ_(उपन्यास)	45232	0
हरिकुल_नमुना_उच्च_माध्यमिक_विद्यालय	69874	0
बिजौरा	3732	5
