中国科学院大学公共政策与管理学院	3447190
中国驻几内亚大使列表	1464023
筆架山_(香港)	282258
臺灣絲尾海鰻	3308534
中国人民武装警察部队拉萨指挥学院	1537869
中国1949年前所建现存教堂列表	4552232
臺灣鹽業史	1436954
香港半島	295713
2010年中国羽毛球俱乐部超级联赛	3249360
香港2010年5月	1268492
第14届中国电影金鸡奖	2866439
中国男子篮球职业联赛最佳体育风尚奖	651986
香港威海衛警察	648571
臺灣府臺灣縣澎湖巡檢	3262071
中国之队	1172020
中国驻菲律宾大使列表	1398914
澳門教青局颱風暴雨指引	4235619
香港市區	681988
臺灣省政府建設廳	2860343
中国人民解放军第二十一兵团	4701953
中国共产党第六次全国代表大会	397018
台湾瓦韦	3280441
中国工农红军第十五军	380352
基督教香港崇真會	751829
中国人民解放军武装力量监察部	1495642
2014年中国大奖赛	3899279
中国－安提瓜和巴布达关系	4764706
中国人民解放军空军第十三飞行学院	1525090
新加坡历史	949
臺灣松蚜	3304121
2003年香港區議會選舉結果	1724681
香港巴士NR61線	3393528
香港出口信用保險局	721667
香港速度系列	559647
香港中文大學醫學院	3280527
2014年臺灣週末電影票房冠軍	3790958
中国共产党四川省委员会	2799990
台湾步锚参	1144650
中国植物志	1151572
1913年臺灣	3612585
2012年中国全国羽毛球团体锦标赛	3228925
中国科学院计算中心	3466687
第30屆香港電影金像獎	1517432
中国国际基金	1332893
中国北方航空6136号班机空难	670725
香港復康會	400586
澳門2012年度頒授勳章、獎章和獎狀名單	3261092
臺灣社會學會	1047648
1956年香港	3600505
花旗中国	942566
2004年香港地鐵縱火案	136088
2009年香港一週票房冠軍	958257
中国中央电视台财经频道	132555
新加坡河	236548
香港天文台	116299
中国人民武装警察部队长沙指挥学院	1537802
臺灣玉米捲管螺	3304159
香港97	466575
2014年10月中国大陆	4273343
銀河_(香港)	773690
第五届澳门国际电影节	3899994
新加坡海峡	233651
台湾狼毒	3287492
中国2010年上海世界博览会捷克馆	4319202
2014中国APEC峰会	4342113
台湾赤杨	3315524
香港境內水貨客問題	3297381
中国学科分类国家标准/440	2455
澳門巴士MT3U路線	3823330
高塔台湾山蜗牛	1109255
香港中文授課中學	2923114
中国南方航空航点	1038038
中国印刷博物馆	147204
中国民航3303号班机空难	714849
澳門資訊頻道	1293745
陳國棟_(香港)	576824
中国中央电视台少儿频道	66857
台湾延龄草	3313066
中国生物圈保护区网络	298682
1926年臺灣	3494798
澳門文華東方酒店	369087
澳門百佳超級市場	515821
中国人民解放军07式军服	2793325
1932年－33年香港甲組足球聯賽	4674274
2012年中国围棋甲级联赛	2770106
中国学科分类国家标准/620	2481
澳門國際銀行大廈	1020381
臺灣話	740
臺灣國際陶藝雙年展	1173180
2015年臺灣	4432055
中国和平统一促进会	69793
台湾滨藜	3312867
中国人民武装警察部队文职干部证	3764341
中国日报香港版	933542
香港金盃	712931
香港癌症基金會	3966268
香港國際機場2030規劃大綱	3013815
2011年香港國際七人欖球賽	1539215
香港國際電影節	156589
香港房屋協會	265777
臺灣擬白帶尖胸沫蟬	3304101
2015–16年香港超級聯賽	4768102
香港先生選舉	321720
香港閱讀城	1566396
