page_title	algoritme	rater1	rater2	rater3
Röhler_Stadt_Bus	c	c	c	c
Rotavirus	w	w	w	w
Das_Letzte_seiner_Art	w	w	w	w
Sven_Morlok	c	c	c	c
Schamp	w	c	c	c
Liste_der_Mitglieder_des_Landtages_(Freistaat_Preußen)_(4._Wahlperiode)	c	c	c	c
Belvedere_Bruchsal	c	c	c	c
Schönenbach_(Furtwangen_im_Schwarzwald)	c	c	c	c
Firmung	w	w	w	w
Christoph_Syldatk	c	c	c	c
Bahnstrecke_Toruń–Tschernjachowsk	c	c	w	w
Heiner_Ellebracht	c	c	c	c
Liste_der_Biografien/Juw	w	w	w	w
Lameth	w	w	w	w
Franz-Reinhold_Hildebrandt	c	c	c	c
Andreas_Straub	c	c	c	c
Möhnesee	c	c	c	c
Oldtimermuseum_Meßkirch	c	c	c	c
Kilpisjärvi_(See)	w	w	w	w
Gasschutzmotor	w	w	w	w
Liste_der_Kulturdenkmäler_in_Donsieders	c	c	c	c
James_Deering	w	w	w	w
Sigmar_Mehring	c	c	c	c
Franz_Hartnagel	c	c	c	c
Reuterkiez	c	c	c	c
Burg_Hohenneuffen	c	c	c	c
Joachim_Georg_Darjes	c	c	c	c
Ottmar_Knacke	c	c	c	c
Kunst_im_öffentlichen_Raum_in_Frankfurt_(Oder)	c	c	c	c
Rhein-Nahe-Eisenbahn-Gesellschaft	c	c	c	c
Qara_Qoyunlu	w	w	w	w
Adger	w	w	w	w
Alois_Steinprinz	c	c	c	c
Þór_(Vorname)	w	w	w	w
Joseph-Guichard_Du_Verney	w	w	w	w
Walter_Dix_(Leichtathlet)	w	w	w	w
H1_(Fernsehen)	c	c	c	c
Liste_der_Kirchengebäude_auf_den_Färöern	w	w	w	w
RoboCop_(2014)	w	w	w	w
Elias_Meniates	w	w	w	w
Katie_Pfleghar	c	c	c	c
Chalkiope_(Tochter_des_Aietes)	w	w	w	w
Clara_Israel	c	c	c	c
Agostino_Pennisi_di_Floristella	w	w	w	w
Gyula_Kabos	w	w	w	w
Messreihe	w	w	w	w
Joseph_Prunis	w	w	w	w
(4746)_Doi	w	w	w	w
Ross_L._Malone	w	w	w	w
Epiphone	w	w	w	w
Ebina	w	w	w	w
The_Global_Experience	c	c	c	c
Kanton_Armentières_(bis_2015)	w	w	w	w
Amt_Warnow-West	c	c	c	c
Skeleton-America’s-Cup_2001/02	w	w	w	w
Kulturpreis_Schlesien_des_Landes_Niedersachsen	c	c	c	c
Mußbach_(Rehbach)	c	c	c	c
Brekkukambur	w	w	w	w
Friedrich_Christoph_von_Dohna	c	c	w	w
Tuukka_Kaukoniemi	w	w	w	w
Dänische_Badmintonmeisterschaft_1987	w	w	w	w
Gregorio_Weber	w	w	w	w
Parc	w	w	w	w
Lansdale_Sasscer	w	w	w	w
Luisenpark_Mannheim	c	c	c	c
Caspar_Brülow	c	c	c	c
Bronvaux	w	c	w	c
Liste_der_denkmalgeschützten_Objekte_in_Zöblen	c	c	c	c
Bremer_Diakonie	c	c	c	c
FK_Kuban_Krasnodar	w	w	w	w
Knights_of_the_Southern_Cross_-_Australia	w	w	w	w
Südkoreanische_Badmintonmeisterschaft	w	w	w	w
Mars_der_Medici	w	w	w	c
Liste_der_Stolpersteine_in_Oberösterreich	c	c	c	c
N2,N2-Dimethylguanin	w	w	w	w
Aezkoa	w	w	w	w
Denver_Cutthroats	w	w	w	w
Rauchschalter	w	w	w	w
Lock_(Begriffsklärung)	w	w	w	w
Χb(3P)-Meson	w	w	w	w
Zielpunkthöhe	w	w	w	w
EWR	w	w	w	c
Arnold_von_Melchtal	c	c	c	c
Engelhörner	c	c	c	c
Herz-Jesu-Kirche_(Lippling)	c	c	c	c
Blue_Stars_St._Gallen	c	c	c	c
Amt_Schrevenborn	c	c	c	c
Georg_Cantieny	c	c	c	c
Liste_der_Naturdenkmäler_im_Bezirk_Grieskirchen	c	c	c	c
Schwarzafrikanische_Küche	w	w	w	w
Liste_der_Kulturdenkmale_in_Markvippach	c	c	c	w
Liste_der_Bürgermeister_der_Stadt_Windhoek	w	w	w	w
Gerold_Nager	c	c	c	c
Raivis_Hščanovičs	w	w	w	w
Ernst-Alfred_Jauch	c	c	c	c
Rolf_Hornig	c	c	c	c
Königskinder_(2003)	c	c	c	c
Darmstadt-Kranichstein	c	c	c	c
Barfod	w	w	w	c
Leyland_Freighter	w	w	w	w
Stauffacherbrücke	c	c	c	c
Li_Xinlei	w	w	w	w
Lucillus_(Konsul_265)	w	w	w	w
Charles_Lee_(Basketballspieler)	w	w	w	w
Gasthaus_zum_Adler_(Eichelberg)	c	c	c	c
Margens	c	c	c	c
Deutscher_Designer_Club	c	c	c	c
Tanja_Fajon	w	w	w	w
Johann_Jacob_Römer	c	c	c	c
Thomas_Klosterkamp	c	c	c	c
George_MacDonald	w	w	w	w
Liste_von_Adligen_namens_Isabella	w	w	w	w
Miguel_Caló	w		w	w
Enzyklopädiekritik	w	w	w	w
Svratka	w	w	w	w
61_Virginis	w	w	w	w
Louis_François_Armand_de_Vignerot_du_Plessis	w	w	w	w
Ein_weites_Herz_–_Schicksalsjahre_einer_deutschen_Familie	c	c	c	c
Reinhard_Bachofen	c	c	c	c
Beatrix_Theater	w	w	w	w
Burg_Borghausen	c	c	c	c
Almerimar	w	w	w	w
Zweite_Schlacht_um_Corinth	w	w	w	w
CGW	w	w	w	w
Putzbrunn	c	c	c	c
Chromatographie	w	w	w	w
East_Coast_Main_Line	w	w	w	w
Flugzeuge_der_Nebenmächte_im_Zweiten_Weltkrieg	w	w	w	w
Saviano_Vehicles	w	w	w	w
Kongressplatz	c	c	c	c
Grabouw	w	w	w	w
Hörweix	c	w	c	c
Kurt_Zimmermann_(MfS-Mitarbeiter)	c	c	c	c
Auffach	c	c	c	c
São_Bartolomeu_(Vila_Viçosa)	w	w	w	w
Moa-Nalos	w	w	w	w
4._Juni	w	w	w	w
Franz_Ackermann	w	c	c	c
Mitterbrünst	c	c	c	c
Maria_Fuchs	c	c	c	c
Digitalkamera	w	w	w	w
VMO	w	w	c	c
Natur_(Zeitschrift)	c	c	c	c
Verfügungsgeschäft	c	w	c	c
Alexander_Wassiljewitsch_Alexandrow	w	w	w	w
Februar_2002	w	w	w	w
Karol_Hiller	c	w	w	w
