page_title	algoritme	rater1	rater2	rater3
Shapes_Of_Love/Never_Stop!	c	c	c	c
このはな綺譚	c	c	c	c
HIBOR	w	w	w	w
カヴァラ県	w	w	w	w
W_(アルバム)	c	c	c	c
フランツ・アントン・シューベルト	w	w	w	w
海洋投入	w	w	w	w
熊本市立出水南中学校	c	c	c	c
SUPER_MONKEY'S	c	c	c	c
モジュライ空間	w	w	w	w
古活字版源氏物語	c	c	c	c
加藤成史	c	c	c	c
アマゾン盆地	w	w	w	w
ジュリオ・カッチーニ	w	w	w	w
大阪府第14区	c	c	c	c
ツユクサ	c	c	w	w
勝俣誠	c	c	c	c
マーケット_(ミシガン州)	w	w	w	w
生田春正	c	c	c	w
佐藤裕二_(アナウンサー)	c	c	c	c
潮凪信号場	c	c	c	c
産学連携	w	w	w	w
オトナの資格	c	c	c	c
ベアトリス・オブ・ヨーク	w	w	w	w
サザン航空242便墜落事故	w	w	w	w
ちびっ子かあちゃん	c	c	c	c
リコー杯新秀戦	c	w	w	w
恋する惑星	w	w	w	w
神沼克伊	c	c	c	c
EDDS_(キレート剤)	w	w	w	w
名蔵川	c	c	c	c
旧中村家住宅_(長野県)	c	c	c	c
Dilettante	c	c	c	c
北条上野四郎	c	c	c	c
富士バイオメディックス	c	c	c	c
横浜DeNAベイスターズ_(ファーム)	c	c	c	c
羽ぼうき	w	w	w	w
Soleil_(入野自由のアルバム)	c	c	c	c
ボンバーマン道場	c	c	w	c
ステファン・サラザン	w	w	w	w
林健造	c	c	c	c
ムハンマド・アブデルアズィーズ	w	w	w	w
ヤネリス・サントス	w	w	w	w
宮川典子	c	c	c	c
岩波新書	c	c	c	c
雲岩区	w	w	w	w
勧善区	w	w	w	w
ECN-T002	c	c	w	c
住友金属工業	c	c	c	c
青山繁	c	c	c	c
早良郵便局	c	c	c	c
苺田さんの話	c	c	c	c
天草市立亀場小学校	c	c	c	c
黄泉軍	c	c	c	c
的場均	c	c	c	c
于洋	w	w	w	w
POSTIME	c	c	c	c
ベルク	w	w	w	w
塩池県	w	w	w	w
岩根忍	c	c	c	c
ウィリバルト・ヨアヒム・フォン・メルカッツ	c	c	c	c
紀元前466年	w	w	w	w
川口翔平	c	c	c	c
2-ヒドロキシイソフラバノンシンターゼ	w	w	w	w
警察庁広域重要指定事件	c	c	c	c
相楽晴子	c	c	c	c
ひと雨くれば	c	c	c	c
ミサイルマン	w	c	c	c
ゲンナジー・アブディエンコ	w	w	w	w
高鷲村	c	c	c	c
尾付きタブ_(ライフゲーム)	w	w	w	w
あまたつ!	c	c	c	c
直交周波数分割多重方式	w	w	w	w
