languagename	Qitem	WikimediaLanguagecode	Wikipedia	WikipedialanguagearticleEnglish	languageISO	languageISO3	languageISO5	languageofficialnational	languageofficialregional	languageofficialsinglecountry	nativeLabel	numbercountriesOfficialorRegional
Afar	Q27811	aa	Afar Wikipedia	https://en.wikipedia.org/wiki/Afar_language	aa	aar				no	afar-af;’afar af;afaraf;qafar af	0
Abkhaz	Q5111	ab	Abkhaz Wikipedia	https://en.wikipedia.org/wiki/Abkhaz_language	ab	abk			GE	yes	аҧсуа бызшәа	1
Acehnese	Q27683	ace	Acehnese Wikipedia	https://en.wikipedia.org/wiki/Acehnese_language		ace				no	bahasa aceh;bahsa acèh	0
Adyghe	Q27776	ady	Adyghe Wikipedia	https://en.wikipedia.org/wiki/Adyghe_language		ady			RU	yes	адыгабзэ;кӏахыбзэ;кӏах псалъэ;адыгэбзэ	1
Afrikaans	Q14196	af	Afrikaans Wikipedia	https://en.wikipedia.org/wiki/Afrikaans	af	afr			ZA	yes	afrikaans	1
Akan language	Q28026	ak	Akan Wikipedia	https://en.wikipedia.org/wiki/Akan_language	ak	aka			GH	yes	akan	1
Alsatian;Alemannic German;Zurich German;Swabian German;Basel German	Q8786;Q131339;Q248682;Q327274;Q359972	als	Alemannic Wikipedia	https://en.wikipedia.org/wiki/Basel_German		gsw;swg				no	elsässerditsch;elsässisch;alemannisch;züritüütsch;schwäbisch;baseldytsch;shqip (shqipëri)	0
Amharic	Q28244	am	Amharic Wikipedia	https://en.wikipedia.org/wiki/Amharic	am	amh		ET		yes	አማርኛ	1
Aragonese	Q8765	an	Aragonese Wikipedia	https://en.wikipedia.org/wiki/Aragonese_language	an	arg				no	idioma aragonés;aragonés	0
Old English	Q42365	ang	Old English Wikipedia	https://en.wikipedia.org/wiki/Old_English		ang				no	ænglisc sprǣc;old english;englisce sprǣc;englisce sprǽc;englisce geþéode;englisc sprǣc;englisc sprǽc;englisc spræc;englisc spraec;englisc geþéode;ænglisc	0
Arabic	Q13955	ar	Arabic Wikipedia	https://en.wikipedia.org/wiki/Arabic	ar	ara		AE;BH;KM;DJ;DZ;EG;ER;EH;IQ;IL;JO;KW;LB;LY;MA;MR;OM;PS;QA;SA;SD;SO;SY;TD;TN;YE		no	العربية;لغة عربية;لغة عربي;عربية;عربي;اللغة العربي	26
Aramaic	Q28602	arc	Aramaic Wikipedia	https://en.wikipedia.org/wiki/Aramaic_language		bjf;tmr;bhn;amw;aii;cld	arc			no	ܠܫܢܐ ܐܪܡܝܐ	0
Egyptian Arabic	Q29919	arz	Egyptian Arabic Wikipedia	https://en.wikipedia.org/wiki/Egyptian_Arabic		arz				no	اللغه المصريه الحديثه;العربى المصرى;العاميه المصريه	0
Assamese	Q29401	as	Assamese Wikipedia	https://en.wikipedia.org/wiki/Assamese_language	as	asm			IN	yes	অসমীয়া ভাষা;অসমীয়া	1
Asturian	Q29507	ast	Asturian Wikipedia	https://en.wikipedia.org/wiki/Asturian_language		ast			ES	yes	asturianu;llionés;llingua asturiana;l'asturianu;asturllionés	1
Atikamekw	Q56590	atj	Atikamekw Wikipedia	https://en.wikipedia.org/wiki/Atikamekw_language		atj				no	atikamekw nehiromowin;atikamekw arimwewin	0
Avar	Q29561	av	Avar Wikipedia	https://en.wikipedia.org/wiki/Avar_language	av	ava			RU	yes	авар мацi;магӏарул мацӏ;магiарул мацi	1
Aymara	Q4627	ay	Aymara Wikipedia	https://en.wikipedia.org/wiki/Aymara_language	ay	aym		BO		yes	aymar aru;aymara aru	1
Azerbaijani	Q9292	az	Azerbaijani Wikipedia	https://en.wikipedia.org/wiki/Azerbaijani_language	az	aze		AZ	IQ;RU	no	azərbaycan dili;azərbaycanca	3
South Azerbaijani	Q3449805	azb	South Azerbaijani Wikipedia	no link		azb				no	azerbaijani	0
Bashkir language	Q13389	ba	Bashkir Wikipedia	https://en.wikipedia.org/wiki/Bashkir_language	ba	bak			RU	yes	башҡорт теле	1
Bavarian language	Q29540	bar	Bavarian Wikipedia	https://en.wikipedia.org/wiki/Bavarian_language		bar				no	boarisch	0
Samogitian	Q213434	bat-smg	Samogitian Wikipedia	https://en.wikipedia.org/wiki/Samogitian_dialect		sgs				no	žemaitiu ruoda	0
Central Bikol	Q33284	bcl	Central Bikol Wikipedia	https://en.wikipedia.org/wiki/Central_Bikol_language		bcl				no	bikol sentral;bikol sana	0
Belarusian	Q9091	be	Belarusian Wikipedia	https://en.wikipedia.org/wiki/Belarusian_language	be	bel		BY		yes	беларуская мова;беларуская	1
Taraškievica	Q2087886	be-tarask	Taraškievica Wikipedia	https://en.wikipedia.org/wiki/Tara%C5%A1kievica						no	тарашкевіца;клясычны правапіс беларускай мовы;клясычны правапіс;беларуская (тарашкевіца) мова	0
Bulgarian	Q7918	bg	Bulgarian Wikipedia	https://en.wikipedia.org/wiki/Bulgarian_language	bg	bul		BG		yes	български език;български	1
Bihari languages	Q135305	bh	Bihari Wikipedia	https://en.wikipedia.org/wiki/Bihari_languages	bh	mag;mai;bho	bih			no	बिहारी भाषा	0
Bislama	Q35452	bi	Bislama Wikipedia	https://en.wikipedia.org/wiki/Bislama	bi	bis		VU		yes	bislama	1
Banjar	Q33151	bjn	Banjar Wikipedia	https://en.wikipedia.org/wiki/Banjar_language		bjn				no	bahasa banjar	0
Bambara	Q33243	bm	Bambara Wikipedia	https://en.wikipedia.org/wiki/Bambara_language	bm	bam				no	bamanankan;bamanakan	0
Bengali	Q9610	bn	Bengali Wikipedia	https://en.wikipedia.org/wiki/Bengali_language	bn	ben		BD	IN	no	বাংলা ভাষা;বাংলা	2
Tibetan	Q34271	bo	Tibetan Wikipedia	https://en.wikipedia.org/wiki/Standard_Tibetan	bo	bod			CN	yes	bod skad;བོད་སྐད་;བོད་ཡིག།;བོད་ཡིག་;བོད་ཡིག;ལྷ་སའི་སྐད	1
Bishnupriya Manipuri	Q37059	bpy	Bishnupriya Manipuri Wikipedia	https://en.wikipedia.org/wiki/Bishnupriya_Manipuri_language		bpy				no	বিষ্ণুপ্রিয়া মণিপুরী	0
Breton	Q12107	br	Breton Wikipedia	https://en.wikipedia.org/wiki/Breton_language	br	bre				no	brezhoneg;yezh vrezhonek;peurunvan;kltg	0
Bosnian	Q9303	bs	Bosnian Wikipedia	https://en.wikipedia.org/wiki/Bosnian_language	bs	bos		BA		yes	bosanski jezik;босански;бос.;jezik bošnjačkog naroda;bosanski;bos.	1
Buginese	Q33190	bug	Buginese Wikipedia	https://en.wikipedia.org/wiki/Buginese_language		bug				no	ᨅᨗᨌᨑ ᨕᨘᨁᨗ;ᨅᨔ ᨕᨘᨁᨗ;basa ugi	0
Buryat	Q33120	bxr	Buryat Wikipedia	https://en.wikipedia.org/wiki/Buryat_language		bua				no	буряад хэлэн;буряад-монгол хэлэн	0
Catalan	Q7026	ca	Catalan Wikipedia	https://en.wikipedia.org/wiki/Catalan_language	ca	cat		AD	ES	no	català;valencià;llengua catalana;idioma català	2
Chavacano	Q33281	cbk-zam	Chavacano Wikipedia	https://en.wikipedia.org/wiki/Chavacano		cbk				no	chavacano;chavacano language;chabacano	0
Min Dong	Q36455	cdo	Min Dong Wikipedia	https://en.wikipedia.org/wiki/Eastern_Min		cdo				no	mìng-dĕ̤ng-ngṳ̄;閩東語|buc=mìng-dĕ̤ng-ngṳ̄;mìng-dĕ̤ng-uâ	0
Chechen	Q33350	ce	Chechen Wikipedia	https://en.wikipedia.org/wiki/Chechen_language	ce	che			RU	yes	noxçiyn mott;нохчийн мотт;нохчийн	1
Cebuano	Q33239	ceb	Cebuano Wikipedia	https://en.wikipedia.org/wiki/Cebuano_language		ceb			PH	yes	sinugboanon;cebuano;sebwano;sinebwano;pinulongang sugboanon;pinulongang sebwano;pinulongang bol-anon;binol-anon	1
Chamorro	Q33262	ch	Chamorro Wikipedia	https://en.wikipedia.org/wiki/Chamorro_language	ch	cha		GU		yes	chamorro	1
Choctaw	Q32979	cho	Choctaw Wikipedia	https://en.wikipedia.org/wiki/Choctaw_language		cho				no	chahta anumpa	0
Cherokee	Q33388	chr	Cherokee Wikipedia	https://en.wikipedia.org/wiki/Cherokee_language		chr				no	ꮳꮃꭹ ꭷꮼꮒꭿꮝꮧ;ꮳꮃꭹ ꭶꮼꮒꭿꮝꮧ;cherokee language;ꮳꮃꭹ	0
Cheyenne	Q33265	chy	Cheyenne Wikipedia	https://en.wikipedia.org/wiki/Cheyenne_language		chy				no	tsêhesenêstsestôtse	0
Central Kurdish	Q36811	ckb	Central Kurdish Wikipedia	https://en.wikipedia.org/wiki/Central_Kurdish		ckb			IQ	yes	کوردیی ناوەندی	1
Corsican	Q33111	co	Corsican Wikipedia	https://en.wikipedia.org/wiki/Corsican_language	co	cos				no	lingua corsa;lingua córsa;corsu	0
Cree	Q33390	cr	Cree Wikipedia	https://en.wikipedia.org/wiki/Cree_language	cr	cre				no	ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ';cree language	0
Crimean Tatar	Q33357	crh	Crimean Tatar Wikipedia	https://en.wikipedia.org/wiki/Crimean_Tatar_language		crh				no	къырымтатар тили;qırım tili;qırımtatar tili;къырым тили	0
Czech	Q9056	cs	Czech Wikipedia	https://en.wikipedia.org/wiki/Czech_language	cs	ces		CZ		yes	čeština;český jazyk	1
Kashubian	Q33690	csb	Kashubian Wikipedia	https://en.wikipedia.org/wiki/Kashubian_language		csb			PL	yes	kaszëbsczi jãzëk;kaszëbskô mòwa	1
Old Church Slavonic	Q35499	cu	Old Church Slavonic Wikipedia	https://en.wikipedia.org/wiki/Old_Church_Slavonic	cu	chu				no	словѣньскъ ѩꙁꙑкъ;ѩзыкъ словѣньскъ;словѣ́ньскъ ѩꙁꙑ́къ;словѣньскъ ѩзыкъ;церковнослове́нскїй	0
Chuvash	Q33348	cv	Chuvash Wikipedia	https://en.wikipedia.org/wiki/Chuvash_language	cv	chv				no	чăваш чĕлхи;чӑваш чӗлхи;чăвашла;чăваш чěлхи	0
Welsh	Q9309	cy	Welsh Wikipedia	https://en.wikipedia.org/wiki/Welsh_language	cy	cym			GB	yes	cymraeg	1
Danish	Q9035	da	Danish Wikipedia	https://en.wikipedia.org/wiki/Danish_language	da	dan		DK		yes	dansk	1
German	Q188	de	German Wikipedia	https://en.wikipedia.org/wiki/German_language	de	deu		AT;BE;CH;DE;LI;LU	DK;PL	no	deutsch;deutsche sprache	8
Dinka	Q56466	din	Dinka Wikipedia	https://en.wikipedia.org/wiki/Dinka_language		din				no	thuɔŋjäŋ;jieng	0
Zazaki	Q10199	diq	Zazaki Wikipedia	https://en.wikipedia.org/wiki/Zaza_language		zza				no	zazaki	0
Lower Sorbian	Q13286	dsb	Lower Sorbian Wikipedia	https://en.wikipedia.org/wiki/Lower_Sorbian_language		dsb				no	dolnoserbšćina;dolnoserbska rěc	0
Doteli language	Q18415595	dty	Doteli Wikipedia	https://en.wikipedia.org/wiki/Doteli_language		dty				no	डोटेली	0
Maldivian	Q32656	dv	Maldivian Wikipedia	https://en.wikipedia.org/wiki/Maldivian_language	dv	div		MV		yes	ދިވެހި	1
Dzongkha	Q33081	dz	Dzongkha Wikipedia	https://en.wikipedia.org/wiki/Dzongkha	dz	dzo		BT		yes	རྫོང་ཁ་;རྫོང་ཁ	1
Ewe	Q30005	ee	Ewe Wikipedia	https://en.wikipedia.org/wiki/Ewe_language	ee	ewe			GH	yes	eʋe;eʋegbe	1
Greek	Q9129	el	Greek Wikipedia	https://en.wikipedia.org/wiki/Greek_language	el	ell	grk	CY;GR		no	ελληνική;ελληνική γλώσσα;ελληνικά	2
Emilian-Romagnol	Q242648	eml	Emiliano–Romagnolo Wikipedia	https://en.wikipedia.org/wiki/Emilian-Romagnol_language		rgn				no	langua emiglièna-rumagnôla;léngua emiliâna-rumagnōla;léngua emiliàna-rumagnòla;emiliàn e rumagnòl;emigliàn-rumagnôl;emigliàn;rumagnol	0
English	Q1860	en	English Wikipedia	https://en.wikipedia.org/wiki/English_language	en	eng		AI;AG;BI;BS;BZ;BM;BB;BW;CA;CM;CK;CX;KY;DM;ER;FJ;FK;FM;GB;GG;GH;GI;GM;GD;GY;HK;IM;IN;IO;IE;JM;JE;KE;KI;KN;LR;LC;LS;MG;MH;MT;MS;MU;MW;NA;NF;NG;NU;NR;PK;PN;PH;PW;PG;RW;SD;SG;SH;SB;SL;SS;SZ;SX;SC;TC;TK;TO;TT;TV;TZ;UG;VC;VG;VU;WS;ZA;ZM;ZW		no	english;english language	78
Esperanto	Q143	eo	Esperanto Wikipedia	https://en.wikipedia.org/wiki/Esperanto	eo	epo				no	esperanto;lingvo internacia;internacia lingvo	0
Spanish	Q1321	es	Spanish Wikipedia	https://en.wikipedia.org/wiki/Spanish_language	es	spa		AR;BO;CL;CO;CR;CU;DO;EC;ES;GQ;GT;HN;NI;PA;PE;PR;PY;SV;UY;VE	US	no	español;lengua española;lengua castellana;idioma español;idioma castellano;es-es;castellano	21
Estonian	Q9072	et	Estonian Wikipedia	https://en.wikipedia.org/wiki/Estonian_language	et	est;ekk		EE		yes	eesti keel;eesti	1
Basque	Q8752	eu	Basque Wikipedia	https://en.wikipedia.org/wiki/Basque_language	eu	eus	euq		ES	yes	euskara;uskera;uskara;euzkera;euskiera;euskera;euskala;eskuera;eskuara;eskoara;eskera;auskera;eskara	1
